,OPEN,HIGH,LOW,CLOSE,PE,MACD,SAR,RSI,BOLL,STD,WR,KDJ,CCI,ROC
2005-02-28,11.08,11.1,10.5,10.7,,-0.23741253932366035,11.1,47.574769632709774,11.127307692307692,2.6136430000571567,68.49315068493152,36.43508774046931,-27.987220447284454,-6.794425087108023
2005-03-01,10.7,10.95,10.61,10.79,,-0.21983301233589891,10.95,50.76287880784337,11.117692307692305,2.6190795885231117,64.38356164383563,45.42826987576,-16.820658611703944,-3.8324420677361983
2005-03-02,10.8,11.05,10.6,10.68,,-0.21232958791716072,11.05,46.60601118471083,11.099999999999998,2.618036971050208,69.40639269406392,50.774809886592294,-10.33823079277732,-10.252100840336139
2005-03-02,10.8,11.05,10.6,10.68,,-0.21232958791716072,11.05,46.60601118471083,11.099999999999998,2.618036971050208,69.40639269406392,50.774809886592294,-10.33823079277732,-10.252100840336139
2005-03-03,10.69,10.89,10.5,10.56,,-0.21360377576097456,10.973,42.09362664320955,11.070384615384615,2.5974366631667327,74.8858447488584,50.66944512317165,-31.160769708256524,-12.14642262895174
2005-03-04,10.6,10.81,10.5,10.7,,-0.2009997488493056,10.906780000000001,49.005777078614024,11.057692307692308,2.5666993446456483,68.49315068493152,54.88054751330708,-17.645039478200946,-2.2831050228310503
2005-03-07,10.69,10.82,10.5,10.59,,-0.1976091323361846,10.849830800000001,44.04828822213284,11.033846153846156,2.5484621709373467,52.845528455284565,54.32403473364203,-18.10275775260365,0.8571428571428558
2005-03-08,10.58,10.62,10.06,10.12,,-0.2301935879759185,10.800854488,29.004293405369,10.983076923076926,2.6366576848113947,89.908256880734,39.57993752885002,-124.51193058568285,-5.1546391752577385
2005-03-09,10.1,10.24,9.72,10.01,,-0.2618743599104558,10.682317769920001,26.46569759795466,10.925769230769232,2.6320832451291665,78.98550724637687,33.39145593710773,-164.15056360708502,-6.18556701030928
2005-03-10,9.97,10.099,9.86,9.89,,-0.2932838039057746,10.5091005713344,23.74503947701258,10.864615384615385,2.634690207449355,87.68115942028986,26.3672508179752,-136.1847040370979,-3.1341821743388856
2005-03-11,9.99,9.999,9.37,9.43,,-0.35124523377212746,10.367062468494208,16.12153275720379,10.795769230769228,2.7368166582110147,96.53179190751442,18.768643402459666,-170.45937793601408,-7.458292443572128
2005-03-14,9.42,9.75,9.4,9.5,,-0.38706977017713484,10.167649974795365,20.7667983631376,10.703461538461537,2.3940023033094517,92.48554913294794,15.091794014338204,-142.59189562162874,-8.653846153846157
2005-03-15,9.47,9.62,9.12,9.2,,-0.43465799932433846,10.008119979836293,16.163245823136403,10.594999999999999,2.405092727892347,95.95959595959596,11.567787346658614,-147.37180173428962,-16.287534121929035
2005-03-16,9.11,9.32,9.1,9.17,,-0.46938201931916446,9.830495983869033,15.744421860129915,10.50423076923077,2.3239939464496318,96.49999999999999,9.06844737839257,-128.4923466550306,-14.29906542056074
2005-03-17,9.22,9.24,9.15,9.2,,-0.48884520285563404,9.684396787095226,18.285303084544594,10.41576923076923,2.3328038054917606,95.00000000000001,7.98361608171907,-108.26813400968666,-14.735866543095458
2005-03-18,9.25,9.25,9.15,9.2,,-0.4985232503231707,9.567517429676181,18.285303084544594,10.328461538461537,2.335901094949808,94.87179487179489,7.5153931772863904,-94.23511572683337,-13.857677902621726
